TABLE_ID,NAME,CODE,DESCRIPTION,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO
EBA_AE_EBA_F_32.03.a_AE_3.2,F 32.03.a,F_32.03.a,F 32.03.a Asset encumbrance: Not pledged. Own covered bonds and ABS issued and not yet pledged (a),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_AE_EBA_F_32.04.b_AE_3.2,F 32.04.b,F_32.04.b,F 32.04.b Asset encumbrance: Sources of encumbrance (b),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_AE_EBA_F_36.02.c_AE_3.2,F 36.02.c,F_36.02.c,F 36.02.c Asset encumbrance: Advance template for colllateral and own debt secrities issued other than covered bonds or ABSs (c),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_AE_EBA_F_32.02.b_AE_3.2,F 32.02.b,F_32.02.b,F 32.02.b Asset encumbrance: Encumbrance overview - Collateral (b),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_AE_EBA_F_36.01.b_AE_3.2,F 36.01.b,F_36.01.b,F 36.01.b Asset encumbrance: Advance template for assets of the reporting institution (b),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_FINREP_EBA_F_13.02_FINREP_2016-A,F 13.02,F_13.02,F 13.02 Collateral obtained by taking possession during the period (held at the reporting date),EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_17.01_FINREP_2016-A,F 17.01,F_17.01,F 17.01 Reconciliation between IFRS and CRR scope of consolidation: Assets,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_17.02_FINREP_2016-A,F 17.02,F_17.02,"F 17.02 Reconciliation between IFRS and CRR scope of consolidation: Off-balance sheet exposures - loan commitments, financial guarantees and other commitments given",EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_31.02_FINREP_2016-A,F 31.02,F_31.02,F 31.02 Related parties: expenses and income generated by transactions with,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_04.09_FINREP_2016-A,F 04.09,F_04.09,F 04.09 Breakdown of financial assets by instrument and by counterparty sector: non-trading debt instruments measured at a cost-based method,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_11.02_FINREP_2016-A,F 11.02,F_11.02,F 11.02 Derivatives - Hedge accounting under National GAAP: Breakdown by type of risk,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_06.00_FINREP_2016-A,F 06.00,F_06.00,F 06.00 Breakdown of loans and advances to non-financial corporations by NACE codes,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_20.07_FINREP_2016-A,F 20.07,F_20.07,F 20.07 Geographical breakdown by residence of the counterparty of loans and advances to non-financial corporations by NACE codes,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_FINREP_EBA_F_45.01_FINREP_2016-A,F 45.01,F_45.01,F 45.01 Gains and losses on financial assets and liabilities designated at fair value through profit or loss by accounting portfolio,EBA,FINREP 2016-A,2016-12-31,2018-03-30
EBA_AE_EBA_F_34.00.a_AE_3.2,F 34.00.a,F_34.00.a,F 34.00.a Asset encumbrance: Contingent encumbrance (a),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_AE_EBA_F_33.00.b_AE_3.2,F 33.00.b,F_33.00.b,F 33.00.b Asset encumbrance: Maturity data (b),EBA,AE 3.2,2023-06-30,9999-12-31
EBA_FINREP_EBA_F_11.04_FINREP_3.0-Ind,F 11.04,F_11.04,F 11.04 Hedged items in fair value hedges,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_12.02_FINREP_3.0-Ind,F 12.02,F_12.02,F 12.02 Transfers between impairment stages (gross basis presentation),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_13.02.1.a_FINREP_3.0-Ind,F 13.02.1.a,F_13.02.1.a,F 13.02.1.a Collateral obtained by taking possession during the period (held at the reference date) (I),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_13.02.1.b_FINREP_3.0-Ind,F 13.02.1.b,F_13.02.1.b,F 13.02.1.b Collateral obtained by taking possession during the period (held at the reference date) (II),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_04.05_FINREP_3.0-Ind,F 04.05,F_04.05,F 04.05 Subordinated financial assets,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_04.06_FINREP_3.0-Ind,F 04.06,F_04.06,F 04.06 Breakdown of financial assets by instrument and by counterparty sector: trading financial assets,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_04.07_FINREP_3.0-Ind,F 04.07,F_04.07,F 04.07 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value through profit or loss,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_13.03.1.a_FINREP_3.0-Ind,F 13.03.1.a,F_13.03.1.a,F 13.03.1.a Collateral obtained by taking possession accumulated (I),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_13.03.1.b_FINREP_3.0-Ind,F 13.03.1.b,F_13.03.1.b,F 13.03.1.b Collateral obtained by taking possession accumulated (II),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_14.00_FINREP_3.0-Ind,F 14.00,F_14.00,F 14.00 Fair value hierarchy: financial instruments at fair value,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_15.00.a_FINREP_3.0-Ind,F 15.00.a,F_15.00.a,"F 15.00.a Derecognition and financial liabilities associated with transferred financial assets: Equity instruments, debt securities, loans and advances",EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_40.01_FINREP_2017-A,F 40.01,F_40.01,F 40.01 Scope of the group: “entity-by-entity”,EBA,FINREP 2017-A,2018-03-31,2021-06-29
EBA_FINREP_EBA_F_43.00_FINREP_2017-A,F 43.00,F_43.00,F 43.00 Provisions,EBA,FINREP 2017-A,2018-03-31,2021-06-29
EBA_FINREP_EBA_F_01.03_FINREP_2017-A,F 01.03,F_01.03,F 01.03 Balance Sheet Statement [Statement of Financial Position]: Equity,EBA,FINREP 2017-A,2018-03-31,2021-06-29
EBA_FINREP_EBA_F_20.01_FINREP_2.8,F 20.01,F_20.01,F 20.01 Geographical breakdown of assets by location of the activities,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_20.04_FINREP_2.8,F 20.04,F_20.04,F 20.04 Geographical breakdown of assets by residence of the counterparty,EBA,FINREP 2.8,2018-12-31,2020-06-29
EBA_FINREP_EBA_F_08.02_FINREP_2.8,F 08.02,F_08.02,F 08.02 Subordinated liabilities,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_20.02_FINREP_2.8,F 20.02,F_20.02,F 20.02 Geographical breakdown of liabilities by location of the activities,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_05.01_FINREP_2.8,F 05.01,F_05.01,F 05.01 Breakdown of non-trading loans and advances by product: Loan and advances other than held for trading by product,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_07.01_FINREP_2.8,F 07.01,F_07.01,F 07.01 Financial assets subject to impairment that are past due,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_07.02_FINREP_2.8,F 07.02,F_07.02,F 07.02 Financial assets subject to impairment that are past due under national GAAP,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_20.03_FINREP_2.8,F 20.03,F_20.03,F 20.03 Geographical breakdown of main income statement items by location of the activities,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_06.01_FINREP_2017-A,F 06.01,F_06.01,F 06.01 Breakdown of non-trading loans and advances to non-financial corporations by NACE codes,EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_05.01_FINREP_2017-A,F 05.01,F_05.01,F 05.01 Breakdown of non-trading loans and advances by product: Loan and advances other than held for trading by product,EBA,FINREP 2017-A,2018-03-31,2018-12-30
EBA_FINREP_EBA_F_15.00.a_FINREP_2017-A,F 15.00.a,F_15.00.a,"F 15.00.a Derecognition and financial liabilities associated with transferred financial assets: Equity instruments, debt securities, loans and advances",EBA,FINREP 2017-A,2018-03-31,2021-06-29
EBA_FINREP_EBA_F_18.00.a_FINREP_2017-A,F 18.00.a,F_18.00.a,F 18.00.a Information on performing and non-performing exposures (I),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_18.00.b_FINREP_2017-A,F 18.00.b,F_18.00.b,F 18.00.b Information on performing and non-performing exposures (II),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_18.00.c_FINREP_2017-A,F 18.00.c,F_18.00.c,F 18.00.c Information on performing and non-performing exposures (III),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_19.00.a_FINREP_2017-A,F 19.00.a,F_19.00.a,F 19.00.a Information forborn exposures (I),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_19.00.b_FINREP_2017-A,F 19.00.b,F_19.00.b,F 19.00.b Information forborn exposures (II),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_19.00.c_FINREP_2017-A,F 19.00.c,F_19.00.c,F 19.00.c Information forborn exposures (III),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_19.00.d_FINREP_2017-A,F 19.00.d,F_19.00.d,F 19.00.d Information forborn exposures (IV),EBA,FINREP 2017-A,2018-03-31,2020-06-29
EBA_FINREP_EBA_F_15.00.b_FINREP_3.0-Ind,F 15.00.b,F_15.00.b,"F 15.00.b Derecognition and financial liabilities associated with transferred financial assets: Derivatives, Deposits, Debt securities issued, Other financial liabilities",EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.01_FINREP_3.0-Ind,F 16.01,F_16.01,F 16.01 Breakdown of selected statement of profit or loss items: Interest income and expenses by instrument and counterparty sector(a),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.02_FINREP_3.0-Ind,F 16.02,F_16.02,F 16.02 Breakdown of selected statement of profit or loss items: Gains or losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss by instrument,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.03_FINREP_3.0-Ind,F 16.03,F_16.03,F 16.03 Breakdown of selected statement of profit or loss items: Gains or losses on financial assets and liabilities held for trading and trading financial assets and trading financial liabilities by instrument,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.04_FINREP_3.0-Ind,F 16.04,F_16.04,F 16.04 Breakdown of selected statement of profit or loss items: Gains or losses on financial assets and liabilities held for trading and trading financial assets and trading financial liabilities by risk,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.04.1_FINREP_3.0-Ind,F 16.04.1,F_16.04.1,F 16.04.1 Breakdown of selected statement of profit or loss items: Gains or losses on non-trading financial assets mandatorily at fair value through profit or loss by instrument,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.05_FINREP_3.0-Ind,F 16.05,F_16.05,F 16.05 Breakdown of selected statement of profit or loss items: Gains or losses on financial assets and liabilities designated at fair value through profit or loss by instrument,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.06_FINREP_3.0-Ind,F 16.06,F_16.06,F 16.06 Breakdown of selected statement of profit or loss items: Gains and losses from hedge accounting,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.07.a_FINREP_3.0-Ind,F 16.07.a,F_16.07.a,F 16.07.a Breakdown of selected statement of profit or loss items: Impairment on non-financial assets (a),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.07.b_FINREP_3.0-Ind,F 16.07.b,F_16.07.b,F 16.07.b Breakdown of selected statement of profit or loss items: Impairment on non-financial assets (b),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.01_FINREP_2017-A,F 20.01,F_20.01,F 20.01 Geographical breakdown of assets by location of the activities,EBA,FINREP 2017-A,2018-03-31,2018-12-30
EBA_FINREP_EBA_F_31.01_FINREP_2017-A,F 31.01,F_31.01,F 31.01 Related parties: amounts payable to and amounts receivable from,EBA,FINREP 2017-A,2018-03-31,2021-06-29
EBA_FINREP_EBA_F_31.02_FINREP_2017-A,F 31.02,F_31.02,F 31.02 Related parties: expenses and income generated by transactions with,EBA,FINREP 2017-A,2018-03-31,2021-06-29
EBA_FINREP_EBA_F_30.02_FINREP_2.8,F 30.02,F_30.02,F 30.02 Breakdown of interests in unconsolidated structured entities by nature of the activities,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_17.01_FINREP_3.0-Ind,F 17.01,F_17.01,F 17.01 Reconciliation between IFRS and CRR scope of consolidation: Assets,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_17.02_FINREP_3.0-Ind,F 17.02,F_17.02,"F 17.02 Reconciliation between IFRS and CRR scope of consolidation: Off-balance sheet exposures - loan commitments, financial guarantees and other commitments given",EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_17.03_FINREP_3.0-Ind,F 17.03,F_17.03,F 17.03 Reconciliation between IFRS and CRR scope of consolidation: Liabilities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_19.00.a_FINREP_3.0-Ind,F 19.00.a,F_19.00.a,F 19.00.a Information on forborne exposures (I),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_19.00.b_FINREP_3.0-Ind,F 19.00.b,F_19.00.b,F 19.00.b Information on forborne exposures (II),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_19.00.c_FINREP_3.0-Ind,F 19.00.c,F_19.00.c,F 19.00.c Information on forborne exposures (III),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_19.00.d_FINREP_3.0-Ind,F 19.00.d,F_19.00.d,F 19.00.d Information on forborne exposures (IV),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_19.00.e_FINREP_3.0-Ind,F 19.00.e,F_19.00.e,F 19.00.e Information on forborne exposures (V),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.01_FINREP_3.0-Ind,F 20.01,F_20.01,F 20.01 Geographical breakdown of assets by location of the activities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.02_FINREP_3.0-Ind,F 20.02,F_20.02,F 20.02 Geographical breakdown of liabilities by location of the activities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.05.a_FINREP_3.0-Ind,F 20.05.a,F_20.05.a,F 20.05.a Geographical breakdown of off-balance sheet exposures by residence of the counterparty (a),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.05.b_FINREP_3.0-Ind,F 20.05.b,F_20.05.b,F 20.05.b Geographical breakdown of off-balance sheet items subject to credit risk by residence of the counterparty (b),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.06_FINREP_3.0-Ind,F 20.06,F_20.06,F 20.06 Geographical breakdown of liabilities by residence of the counterparty,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_20.07.1_FINREP_3.0-Ind,F 20.07.1,F_20.07.1,F 20.07.1 Geographical breakdown by residence of the counterparty of loans and advances other than held for trading to non-financial corporations by NACE codes,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_21.00_FINREP_3.0-Ind,F 21.00,F_21.00,F 21.00 Tangible and intangible assets: assets subject to operating lease,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_22.01_FINREP_3.0-Ind,F 22.01,F_22.01,F 22.01 Fee and commission income and expenses by activity,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_22.02_FINREP_3.0-Ind,F 22.02,F_22.02,F 22.02 Assets involved in the services provided,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_16.08_FINREP_3.0-Ind,F 16.08,F_16.08,F 16.08 Breakdown of selected statement of profit or loss items: Other administrative expenses,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_30.01_FINREP_3.0-Ind,F 30.01,F_30.01,F 30.01 Interests in unconsolidated structured entities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_30.02_FINREP_3.0-Ind,F 30.02,F_30.02,F 30.02 Breakdown of interests in unconsolidated structured entities by nature of the activities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_31.01_FINREP_3.0-Ind,F 31.01,F_31.01,F 31.01 Related parties: amounts payable to and amounts receivable from,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_31.02_FINREP_3.0-Ind,F 31.02,F_31.02,F 31.02 Related parties: expenses and income generated by transactions with,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_41.01_FINREP_3.0-Ind,F 41.01,F_41.01,F 41.01 Fair value hierarchy: financial instruments at amortised cost,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_41.02_FINREP_3.0-Ind,F 41.02,F_41.02,F 41.02 Use of the Fair Value Option,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_23.01_FINREP_2.9,F 23.01,F_23.01,F 23.01 Loans and advances: Number of instruments,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_23.02_FINREP_2.9,F 23.02,F_23.02,F 23.02 Loans and advances: Additional information on gross carrying amounts,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_23.03_FINREP_2.9,F 23.03,F_23.03,F 23.03 Loans and advances collateralised by immovable property: Breakdown by LTV ratios,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_23.04_FINREP_2.9,F 23.04,F_23.04,F 23.04 Loans and advances: Additional information on accumulated impairments and accumulated negative changes in fair value due to credit risk,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_23.05_FINREP_2.9,F 23.05,F_23.05,F 23.05 Loans and advances: Collateral received and financial guarantees received,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_23.06_FINREP_2.9,F 23.06,F_23.06,F 23.06 Loans and advances: Accumulated partial write-offs,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_18.02.a_FINREP_2.9,F 18.02.a,F_18.02.a,F 18.02.a Commercial Real Estate (CRE) loans and additional information on loans secured by immovable property (I),EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_18.00.a_FINREP_2.9,F 18.00.a,F_18.00.a,F 18.00.a Information on performing and non-performing exposures (I),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_19.00.a_FINREP_2.9,F 19.00.a,F_19.00.a,F 19.00.a Information on forborne exposures (I),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_24.01_FINREP_2.9,F 24.01,F_24.01,F 24.01 Loans and advances: Inflows and outflows of non-performing exposures,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_24.02_FINREP_2.9,F 24.02,F_24.02,F 24.02 Loans and advances: Flow of impairments and accumulated negative changes in fair value due to credit risk on non-performing exposures,EBA,FINREP 2.9,2020-06-30,9999-12-31
EBA_FINREP_EBA_F_03.00_FINREP_2.8,F 03.00,F_03.00,F 03.00 Statement of comprehensive income,EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_12.01.a_FINREP_2.8,F 12.01.a,F_12.01.a,F 12.01.a Movements in allowances and provisions for credit losses (I),EBA,FINREP 2.8,2018-12-31,2020-06-29
EBA_FINREP_EBA_F_12.01.b_FINREP_2.8,F 12.01.b,F_12.01.b,F 12.01.b Movements in allowances and provisions for credit losses (II),EBA,FINREP 2.8,2018-12-31,2021-06-29
EBA_FINREP_EBA_F_13.02.1.a_FINREP_2.9,F 13.02.1.a,F_13.02.1.a,F 13.02.1.a Collateral obtained by taking possession during the period (held at the reference date) (I),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_13.02.1.b_FINREP_2.9,F 13.02.1.b,F_13.02.1.b,F 13.02.1.b Collateral obtained by taking possession during the period (held at the reference date) (II),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_13.03.1.a_FINREP_2.9,F 13.03.1.a,F_13.03.1.a,F 13.03.1.a Collateral obtained by taking possession accumulated (I),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_16.08_FINREP_2.9,F 16.08,F_16.08,F 16.08 Breakdown of selected statement of profit or loss items: Other administrative expenses,EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_18.00.d_FINREP_2.9,F 18.00.d,F_18.00.d,F 18.00.d Information on performing and non-performing exposures (IV),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_18.00.e_FINREP_2.9,F 18.00.e,F_18.00.e,F 18.00.e Information on performing and non-performing exposures (V),EBA,FINREP 2.9,2020-06-30,2021-06-29
EBA_FINREP_EBA_F_43.00_FINREP_3.0-Ind,F 43.00,F_43.00,F 43.00 Provisions,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_44.02_FINREP_3.0-Ind,F 44.02,F_44.02,F 44.02 Movements in defined benefit plans and employee benefits,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_44.01_FINREP_3.0-Ind,F 44.01,F_44.01,F 44.01 Components of net defined benefit plan assets and liabilities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_44.03_FINREP_3.0-Ind,F 44.03,F_44.03,F 44.03 Staff expenses by type of benefits,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_45.01_FINREP_3.0-Ind,F 45.01,F_45.01,F 45.01 Gains and losses on financial assets and liabilities designated at fair value through profit or loss by accounting portfolio,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_45.02_FINREP_3.0-Ind,F 45.02,F_45.02,F 45.02 Gains or losses on derecognition of non-financial assets,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_45.03_FINREP_3.0-Ind,F 45.03,F_45.03,F 45.03 Other operating income and expenses,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_46.00_FINREP_3.0-Ind,F 46.00,F_46.00,F 46.00 Statement of changes in equity,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_AE_EBA_F_33.00.a_AE_2014-03,F 33.00.a,F_33.00.a,F 33.00.a Asset encumbrance: Maturity data (a),EBA,AE 2014-03,2014-09-30,2023-06-29
EBA_AE_EBA_F_33.00.b_AE_2014-03,F 33.00.b,F_33.00.b,F 33.00.b Asset encumbrance: Maturity data (b),EBA,AE 2014-03,2014-09-30,2023-06-29
EBA_AE_EBA_F_34.00.a_AE_2014-03,F 34.00.a,F_34.00.a,F 34.00.a Asset encumbrance: Contingent encumbrance (a),EBA,AE 2014-03,2014-09-30,2021-06-29
EBA_AE_EBA_F_34.00.b_AE_2014-03,F 34.00.b,F_34.00.b,F 34.00.b Asset encumbrance: Contingent encumbrance (b),EBA,AE 2014-03,2014-09-30,2021-06-29
